id,original_url,large_url,medium_url,small_url,width,height,photographer,photographer_url,alt,query
22006721,"https://images.pexels.com/photos/22006721/pexels-photo-22006721.jpeg","https://images.pexels.com/photos/22006721/pexels-photo-22006721.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/22006721/pexels-photo-22006721.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/22006721/pexels-photo-22006721.jpeg?auto=compress&cs=tinysrgb&h=130",3837,3336,"Ellie Burgin","https://www.pexels.com/@ellie-burgin-1661546","Mountain cable cars ascend a steep incline in a scenic rural landscape, surrounded by greenery.","gondola cable car"
8551125,"https://images.pexels.com/photos/8551125/pexels-photo-8551125.jpeg","https://images.pexels.com/photos/8551125/pexels-photo-8551125.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/8551125/pexels-photo-8551125.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/8551125/pexels-photo-8551125.jpeg?auto=compress&cs=tinysrgb&h=130",5616,3744,"Aneta Zelenková","https://www.pexels.com/@anetasqd","Stunning view of a red cable car traversing through the High Tatras mountains in Slovakia.","gondola cable car"
15439717,"https://images.pexels.com/photos/15439717/pexels-photo-15439717.jpeg","https://images.pexels.com/photos/15439717/pexels-photo-15439717.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/15439717/pexels-photo-15439717.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/15439717/pexels-photo-15439717.jpeg?auto=compress&cs=tinysrgb&h=130",5472,3648,"Hiva Sobhani","https://www.pexels.com/@hiva-sobhani-160661076","Gondola traveling through misty forested mountains in Vancouver, creating a moody atmosphere.","gondola cable car"
33446096,"https://images.pexels.com/photos/33446096/pexels-photo-33446096.jpeg","https://images.pexels.com/photos/33446096/pexels-photo-33446096.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/33446096/pexels-photo-33446096.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/33446096/pexels-photo-33446096.jpeg?auto=compress&cs=tinysrgb&h=130",4896,3264,"FLIM 6","https://www.pexels.com/@flim-6-2147736839","Black and white image of cable cars in Vũng Tàu, Việt Nam, capturing aerial transport elegance.","gondola cable car"
17159622,"https://images.pexels.com/photos/17159622/pexels-photo-17159622.jpeg","https://images.pexels.com/photos/17159622/pexels-photo-17159622.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/17159622/pexels-photo-17159622.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/17159622/pexels-photo-17159622.jpeg?auto=compress&cs=tinysrgb&h=130",4484,2989,"Michael Li","https://www.pexels.com/@michael-li-483163181","Bright orange gondola lift ascending against a vibrant blue sky, a perfect scene of modern transportation.","gondola cable car"
17292799,"https://images.pexels.com/photos/17292799/pexels-photo-17292799.jpeg","https://images.pexels.com/photos/17292799/pexels-photo-17292799.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/17292799/pexels-photo-17292799.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/17292799/pexels-photo-17292799.jpeg?auto=compress&cs=tinysrgb&h=130",4437,4000,"Robert So","https://www.pexels.com/@robertkso","Experience a breathtaking ride on cable gondolas over a vast forest with a distant cityscape view.","gondola cable car"
27794048,"https://images.pexels.com/photos/27794048/pexels-photo-27794048.jpeg","https://images.pexels.com/photos/27794048/pexels-photo-27794048.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/27794048/pexels-photo-27794048.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/27794048/pexels-photo-27794048.jpeg?auto=compress&cs=tinysrgb&h=130",5413,3609,"Ondosan Sinaga","https://www.pexels.com/@cokfotokandulu","Two gondolas suspended on cables in a clear blue sky, showcasing modern transportation.","gondola cable car"
29541765,"https://images.pexels.com/photos/29541765/pexels-photo-29541765.jpeg","https://images.pexels.com/photos/29541765/pexels-photo-29541765.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/29541765/pexels-photo-29541765.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/29541765/pexels-photo-29541765.jpeg?auto=compress&cs=tinysrgb&h=130",7000,3939,"wetpainthtx","https://www.pexels.com/@wetpainthtx-479671953","Vibrant red cable cars suspended against a mountainous landscape.","gondola cable car"
17115786,"https://images.pexels.com/photos/17115786/pexels-photo-17115786.jpeg","https://images.pexels.com/photos/17115786/pexels-photo-17115786.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/17115786/pexels-photo-17115786.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/17115786/pexels-photo-17115786.jpeg?auto=compress&cs=tinysrgb&h=130",5006,3337,"kabita Darlami","https://www.pexels.com/@kabita-darlami-2613403","Aerial gondola lift traveling over wooded mountains, offering scenic transportation views.","gondola cable car"
11701076,"https://images.pexels.com/photos/11701076/pexels-photo-11701076.jpeg","https://images.pexels.com/photos/11701076/pexels-photo-11701076.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/11701076/pexels-photo-11701076.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/11701076/pexels-photo-11701076.jpeg?auto=compress&cs=tinysrgb&h=130",6000,4000,"David Rado","https://www.pexels.com/@davidrado","Blue cable cars gliding on steel cables over a tower against a gray sky.","gondola cable car"
